# htr=halvtransitiv
# durativ = perfektiv, ad->int

AASIINNGOOQ	<eo:lauxdire/part:som_vanlig_siges_det>
AASIIT	<eo:lauxkutime/part:som_sædvanlig>
ARAQ	<eo:eta/en_lille>
GAJUP	<eo:ema/har_tendens_til> 
GALLAR	<eo:provizore/foreløbig>
GALLARTIP	<eo:provizore/foreløbig+agentativ>
GALUAR	<eo:ja/ganske_vist/ellers>
#GALUARGALUARNIAR	
GALUTTUINNAR	<eo:plieme/risiko_for/mere_og_mere>
GASUAR	<eo:rapidfaras/gør_hurtigt>
GE	<eo:hava/-havende_som>
GIARTUINNALIR	<eo:ekpli/mere_og_mere+inchoativ>
GIARTUINNALIRALUAR	<eo:ja_ekpli/mere_og_mere+inchoativ+ellers>
GIARTUINNALIRALUARSIMA	<eo:ja_ekpliis/mere_og_mere+inchoativ+ellers+perfektiv>
GIARTUINNALIRSIMA	<eo:ekpliis/mere_og_mere+inchoativ+perfektiv>
GIARTUINNAR	<eo:pliad/mere_og_mere_hele_tiden>
GIARTUINNARSIMA	<eo:pliad/mere_og_mere_hele_tiden+durativ>
GIARTULIQINA	<eo:certe_pli/nok_mere_og_mere>
GIARTULIR	<eo:ekontas/går_hen_for_at+inchoativ>
GIARTUQATIGIIGINNAR	<eo:kunekontas/simpelthen_går_sammen_hen_for_at>
GIARTUQATIGIIP	<eo:kunontas/går_fælles_hen_for_at>
GIARTUQINA	<eo:certe_ontas/nok_gå_hen_for_at/nok_mere_og_mere> 
GIARTUQQAAR	<eo:unue_ontas/først_går_hen_for_at>
GIARTUQQAARALLAR	<eo:unua_ontas/går_hen_for_at_som_den_foreløbig_første>
GIARTUQQAARUMA	<eo:unue_ontemas/vil_først_gå_hen_for_at>
GIARTUQQAARUMAGALUAR	<eo:ja_unue_ontemas/vil_ellers_først_gå_hen_for_at>
GIARTUQQU	<eo:ontigas/pålægger_at_gå_hen_for_at>
GIARTUR	<eo:ontas/går_hen_for_at>
GIARTURALLASSA	<eo:provizore_ontas/skal_foreløbig_gå_hen_for_at>
GIARTURASUAR	<eo:hasti_ontas/skynder_sig_at_gå_hen_for_at>
GIARTURASUARNIAR	<eo:hastontintencas/agter_at_skynde_sig_gå_hen_for_at>
GIARTURNIAR	<eo:ontintencas/agter_at_gå_hen_for_at>
GIARTURTAR	<eo:ontkutimas/plejer_at_gå_hen_for_at>
GIARTURTIKKUMA	<eo:ontigos/vil_få_til_at_gå_hen_for_at>
GIARTURTIP	<eo:ontigas/får_til_at_gå_hen_for_at>
GIARTURUMA	<eo:ontemas/vil_gå_hen_for_at>
GIARTUSSA	<eo:ontos/skal_gå_hen_for_at>
GIARTUSSANIR	<eo:cxu_ontos/mon_skal_gå_hen_for_at>
GIARTUSSANNGINNIR	<eo:cxune_ontos/mon_ikke_skal_gå_hen_for_at>
GIARTUSSANNGIT	<eo:ne_ontos/skal_ikke_gå_hen_for_at>
GINNIP	<eo:malla-hava/havende_som+htr> 
GOOQ	<eo:lauxdire/part:siger_man>
GOORUNA	<eo:lauxdire/part:siger_man>
GUMA	<eo:emas/vil>
GUMAAR	<eo:certe_os/skal_nok>
GUMAARNIR	<eo:cxu_os/mon_skal_nok>
GUMAGALUAR	<eo:ju_emas/vil_ellers>
