13-skala	«13»skalo
adskillelse/splitting; opsplitning	disigxo/splitting; sor«splitning»
afskrivning/annulering/bortfald/2 ) likvidation/ophæve <3)> opl	deskribo/prnulado/bortfald/2 ) likvido/nuligi <3)> Opel
betrækker den; maler det	tegas gxi; pentras gxin
blokeret gabeevne; skridt	blokita oscedkapableco; pasxo
blymalm; blyant	plumberco; krajono
bogreol; skoletaske	librobretaro; lernejsako
bogstav; det at skrive/skrivning	litero; gxin * skribi/skrivning
boldtræ/kølle; tæppebanker	pilkuj/kølle; tæppebanker
bugserblære; "bugserblære] <heur> N UTR S IDF NOM kanten forneden på en mandsanorak	bugserblære; "bugserblære] <heur> N UTR S IDF NOM la egxo malsupre sur * viranorako
bærer et barn på ryggen; er fuld/er beruset	portas * infano sur la dorso; estas plena/estas ebriigita
deler det i to dele; lader sig skille fra ham/hende	disigas gxi en to disigi; lasas sin disigi de lin/sxin
de ligger spredt; det sker med lange mellemrum	ili kusxas dise; gxi okazas kun longa interspaco
der er lavvande i kassen	tie estas malfluso en la kaso
det er dagen før hans fødselsdag	gxi estas la tago antaux lia(j) naskigxtago
det var tæt på !; det var lige ved !/hovsa !	gxi var proksime de !; gxi var gxuste cxe !/hovsa !
dykker; stiger ned, <3)> er forslugen/spiser hurtigt	cefalofo; levigxas malsupren, <3)> estas glutema/mangxas preste
dykker; undervandsbåd	cefalofo; «undervands»boato
dåseåbner; øloplukker	elladigilo; botelmalfermilo
en brun bjørn/landbjørn; brystkødet på en fugl	* bruna urso/ujurso; la brustviando sur * birdo
én der har fødselsdag dagen efter	unu kiu(j) havas naskigxtago la tago poste
en ikke uddannet kateket/2 ) læser ( i grønland i tidligere	* ne edukita kateket/2 ) legas ( en Grenlando en pli frue
en lånt ting/noget man har lejet; et chartret skib	* pruntita ajxo/io oni havas luis; * cxartita sxipo
er dejlig/er vidunderlig; det er dejligt at ses igen	estas belega/estas mirakl(ec)a; gxi estas belega * renkontigxi denove
er usikker/er tøvende; går ikke op	estas malcerta/estas hezitanta(j); iras ne supren
et barn båret på ryggen; rodgren	* infano portita sur la dorso; radikbrancxo
et barn født i dølgsmål; hemmelighed	* infano naskita en dølgsmål; sekreto
et perlebroderi på ærmekanten af en kvindeanorak; manchetter (	* perlbrodajxo sur la manikegxo de * virinanorako; manumoj (
forandring/reformation/ændring; ophæve, <3)> konvertering	sxangxo/reformacio/ændring; nuligi, <3)> konvertering
forløsning; primærgevinst	forløsning; primargajno
følger det; læser det	sekvas gxi; legas gxin
får kostforandring/får noget andet at spise end det sædvanlige,	ricevas bastonsxangxo/ricevas io alia * mangxi ol la kutima,
gyldig/tjenstgørende; som bliver brugt	valida/tjenstgørende; kiu igxas uzita
haler op; det trækker op til dårligt vejr	hauxlas supren; gxi tiras * <lex> ADV al PRP malbona vetero
har fået en hudafskrabning; sælger skind	havas ricevis * ekskoriajxo; vendas hauxto
havlit, <3)> den nederste	havlit, <3)> la plej malsupra
hvor er her smukt !/hvor er det dejligt vejr !; hvor er det de	kie estas cxi tie bela !/hvor estas gxi belega vetero !; kie estas gxi ili
intervention/indgreb; assimilation	interven-ado/enpenetro; asimil-(aci)o
jævn vind; frisk vind	glata vento; fresxa vento
katalogvarer; kommissionsgods ( i grønland i tidli	katalogdauxras; komisivararo ( en Grenlando en tidli
klokken er seks; det er lørdag	la sonorilo estas seks; gxi estas sabato
knap; mødding	malabunda; mødding
kommer ud/slipper ud; får udslæt	venas eksteren/malkaptas eksteren; ricevas ekzemo
kontor; skrivebord	oficejo; skribtablo
